Name,ID,English name,Region,Building type,Categories,Activities,Features,Architect(s),Builder,Century,Year built,Rebuilt year,Architectural style,Wikipedia link,Website,Instagram,Map link,Latitude,Longitude,WP Post ID
Adelsnäs säteri,adelsnas-sateri,Adelsnäs Manor,Östergötland,Manor,Sports & Recreation,Hunting|Fishing,,Isak Gustaf Clason,Theodor Adelswärd,20th Century,1916,,National Romantic,https://sv.wikipedia.org/wiki/Adelsnäs,https://www.baroniet.se/,,https://maps.app.goo.gl/vewEEfoA1hd4zk6R6,58.188462550588206,15.989637239890646,
Alnarps slott,alnarps-slott,Alnarp Castle,Skåne,Manor,Gardens & Parks|Sports & Recreation,Sightseeing,,Ferdinand Meldahl,King Oscar I,19th Century,1859,,French Renaissance Revival,https://sv.wikipedia.org/wiki/Alnarps_slott,https://www.slu.se/om-slu/besok-slu/vara-besoksmal/alnarpsparken/,,https://maps.app.goo.gl/NKvPLGGiiA83hEDWA,55.65481449152127,13.078973968917293,
Alsnö hus,alsno-hus,Alsnö House,Uppland,Ruin,History & Culture,Sightseeing,,,King Magnus Ladulås,13th Century,1270,,,https://sv.wikipedia.org/wiki/Alsnö_hus,https://historiska.se/utforska-historien/kunskapsbank/alsno-hus-ett-medeltida-palats/,,https://maps.app.goo.gl/NKvPLGGiiA83hEDWA,59.36083342947104,17.535505999824938,
Alsters herrgård,alsters-herrgard,Alster Manor,Värmland,Manor,Food & Drink|History & Culture,,,Johan Fredrik Åbom,Jan Fröding,18th Century,1772,1830,Neoclassical,https://sv.wikipedia.org/wiki/Alsters_herrgård,https://karlstad.se/alsters-herrgard/,,https://maps.app.goo.gl/ashDiFG1KjHPWF748,59.398217700384926,13.602670130168427,
Asa herrgård,asa-herrgard,Asa Manor,Småland,Manor,Food & Drink|Weddings|Accommodation|Sports & Recreation,,,,Gustaf Leijonhufvud,18th Century,1793,,,https://sv.wikipedia.org/wiki/Asa_herrgård,https://www.asaherrgard.se/,,https://maps.app.goo.gl/8PDfFwKBR6cVfp6V8,57.16470728313681,14.784433764423547,
Aspa herrgård,aspa-herrgard,Aspa Manor,Närke,Manor,Food & Drink|Accommodation,,,,,18th Century,1740,,,"https://sv.wikipedia.org/wiki/Aspa,_Askersunds_kommun",https://aspaherrgard.se/,,https://maps.app.goo.gl/NGeoFkFACyMLYeg5A,58.776245610322285,14.804345158967504,
Aspenäs herrgård,aspenas-herrgard,Aspenäs Manor,Västergötland,Manor,Food & Drink|Weddings|Accommodation,,,,Johan Jacob von Holten,19th Century,1834,,,https://sv.wikipedia.org/wiki/Aspenäs_herrgård,https://aspenasherrgard.se/,,https://maps.app.goo.gl/4GFvZqSS8HMirajf7,57.77559257323661,12.233982256515487,
Baldersnäs herrgård,baldersnas-herrgard,Baldersnäs Manor,Dalsland,Manor,Weddings|Accommodation,,,Frans Ekelund,,20th Century,1910,,,https://sv.wikipedia.org/wiki/Baldersnäs,https://www.baldersnas.eu/,,https://maps.app.goo.gl/Z4mUFPcfQZsStMiFA,58.963464843781466,12.277760939392158,
Balingsholm herrgård,balingsholm-herrgard,Balingsholm Manor,Södermanland,Manor,Accommodation,,,Erik Lundroth,,20th Century,1906,,,https://sv.wikipedia.org/wiki/Balingsholm,https://www.balingsholm.se/,,https://maps.app.goo.gl/hyQXc9gZaGF23Zbr5,59.22613579482613,18.028650935707844,
Beckershofs herrgård,beckershofs-herrgard,Beckershof Manor,Södermanland,Manor,Accommodation|Sports & Recreation,,,Carl Christoffer Gjörwell,"Martin Arfwedson, Mauritz Lewenhaupt",19th Century,1819,1867,,https://sv.wikipedia.org/wiki/Beckershov,http://www.beckershof.se/,,https://maps.app.goo.gl/vDVc3EJUyVM3UqBz9,58.94779463557126,16.028709296571407,
Bergendals herrgård,bergendals-herrgard,Bergendal Manor,Uppland,Manor,Food & Drink|Weddings,,,Francois Priffé,,20th Century,1913,,National Romantic,https://sv.wikipedia.org/wiki/Bergendals_herrgård,https://www.bergendal.se/,,https://maps.app.goo.gl/B6jxPUmMc37NhUo58,59.43036079230352,17.983183478852066,
Bergsjöholms slott,bergsjoholms-slott,Bergsjöholm Manor,Skåne,Manor,Sports & Recreation,,,Ferdinand Meldahl (restoration),Björn Kaas,,,1849,Historicism,https://sv.wikipedia.org/wiki/Bjärsjöholms_slott,https://bergsjoholm.com/,,https://maps.app.goo.gl/qhc4XWfhMyjDbW3P8,55.450959955300604,13.777526265222148,
Bjertorp slott,bjertorps-slott,Bjertorp Manor,Västergötland,Manor,Food & Drink|Weddings|Accommodation|Sports & Recreation,,,Ferdinand Boberg,Knut Henrik Littorin,20th Century,1911,,Art Nouveau (Jugend),https://sv.wikipedia.org/wiki/Bjertorp_slott,https://bjertorpslott.se/,,https://maps.app.goo.gl/Wpc3jpBf5zYkRPvt6,58.26465993671098,13.113478068466016,
Bjärka-Säby slott,bjarka-saby-slott,Bjärka-Säby Manor,Östergötland,Manor,Weddings|Conferences & Events,,,,Per Nilsson Natt och Dag,17th Century,1632,,,https://sv.wikipedia.org/wiki/Bjärka-Säby_slott,http://bjarka-saby.se/,,https://maps.app.goo.gl/xhvDSChy1SuobjJB6,58.26868143215452,15.739114037052872,
Bjärsjölagårds slott,bjarsjolagards-slott,Bjärsjölagård Manor,Skåne,Manor,Food & Drink|Weddings|Accommodation,,,Jean Eric Rehn,,18th Century,1770,,,https://sv.wikipedia.org/wiki/Bjärsjölagårds_slott,http://bjarsjolagardsslott.se/,,https://maps.app.goo.gl/v48oic1Vkve7kd9u8,55.726273434182396,13.69943984194523,
Björka säteri,bjorka-sateri,Björka Manor,Småland,Manor,Sports & Recreation,,,,,17th Century,1625,,,,http://www.bjorkasateri.se/,,https://maps.app.goo.gl/ao7eRKiviV8YiP1W7,57.82183053817736,16.06979684996007,
Björnö slott,bjorno-slott,Björnö Manor,Småland,Manor,Weddings,,,Carl Otto Posse,,19th Century,1850,,Empire,"https://sv.wikipedia.org/wiki/Björnö,_Kalmar_kommun",https://bjornoslott.se/,,https://maps.app.goo.gl/nNRukF8rcRcBb19b9,56.770912465252835,16.38522190521414,
Blekhems egendom,blekhems-egendom,Blekhem Manor,Småland,Manor,Sports & Recreation,,,,Johan Nordenfalk,19th Century,1838,,Empire,https://sv.wikipedia.org/wiki/Blekhem,https://www.blekhem.se,,https://maps.app.goo.gl/W1UJZydYuYWSsV4JA,57.822943584802985,16.428328922974263,
Bogesunds slott,bogesunds-slott,Bogesund Castle,Uppland,Castle,History & Culture,,,Thor Medelplan (rebuild),,19th Century,1640,1863,Neo-Gothic,https://sv.wikipedia.org/wiki/Bogesunds_slott,http://www.bogesundsslott.se/,,https://maps.app.goo.gl/jrou2jcaVPKTuB586,59.39344366189554,18.28454478262966,
Bohus fästning,bohus-fastning,Bohus Fortress,Bohuslän,Fortress,History & Culture,,,Hans van Paeschen & Hans van Steenwinckel d.ä. (rebuild),,14th Century,1308,1584,Renaissance,https://sv.wikipedia.org/wiki/Bohus_fästning,https://www.bohusfastning.com/,,https://maps.app.goo.gl/q53yk3yu1VcHuEB79,57.86138028523296,11.998587340210356,
Bondeska palatset,bondeska-palatset,Bonde Palace,Uppland,Palace,History & Culture,Sightseeing,,Nicodemus Tessin d.ä. & Jean de la Vallée (original); Johan Eberhard Carlberg (rebuild after fire),,17th Century,1662,1753,Baroque,https://sv.wikipedia.org/wiki/Bondeska_palatset,https://www.sfv.se/vara-fastigheter/sverige/stockholms-lan/gamla-stan/bondeska-palatset,,https://maps.app.goo.gl/DTFyYrC2mKHQN7fj6,59.326354801326204,18.066100378920076,
Boo egendom,boo-egendom,Boo Manor,Närke,Manor,Sports & Recreation,,,Johan Fredrik Åbom; Ivar Tengbom (interior),,19th Century,1878,,Neo-Gothic,https://sv.wikipedia.org/wiki/Boo_slott,https://booegendom.se/,,https://maps.app.goo.gl/U4RfDtxL4T6XTgcq7,58.92903511656377,15.527893348817729,
Borgeby slott,borgeby-slott,Borgeby Castle,Skåne,Castle,Food & Drink,,,"Helgo Zettervall (""Börjes torn"" only)",,,980,1875,,https://sv.wikipedia.org/wiki/Borgeby_slott,https://borgebyslott.se/,,https://maps.app.goo.gl/VQU4rXfw1haBaQry5,55.751627161135154,13.036956824742395,
Borgholms slott,borgholms-slott,Borgholm Castle Ruin,Öland,Ruin,Food & Drink|Weddings|History & Culture,,,"Dominicus Pahr (Renaissance rebuild); Nicodemus Tessin d.ä. (Baroque rebuild, uncompleted)",,17th Century,1100,1650,Baroque,https://sv.wikipedia.org/wiki/Borgholms_slottsruin,https://borgholmsslott.se/,,https://maps.app.goo.gl/KC3SsmPgJjRotcLj6,56.87075459173228,16.64408859782421,
Bosjökloster,bosjokloster,Bosjö Abbey,Skåne,Manor,Food & Drink|Weddings|History & Culture,,,Carl Georg Brunius (church restoration); Helgo Zetterwall (residential wings); Leon Nilson (interior),,19th Century,1100,1877,,https://sv.wikipedia.org/wiki/Bosjökloster,https://www.bosjokloster.se/,,https://maps.app.goo.gl/rEuZCGcv369biZhg6,55.87875836891763,13.519784267518096,
Brahehus slottsruin,brahehus-slottsruin,Brahehus Castle Ruin,Småland,Ruin,History & Culture,Sightseeing,,,Per Brahe the Younger,17th Century,1638,,Renaissance,https://sv.wikipedia.org/wiki/Brahehus,,,https://maps.app.goo.gl/wFs8xeSdur8mDFyU7,58.05314894466915,14.50472655556617,
Bro Hof slott,bro-hof-slott,Bro Hof Manor,Uppland,Manor,Food & Drink,,,Herman Holmgren,Johan Claes Eriksson Sparre,19th Century,1888,,Baroque,https://sv.wikipedia.org/wiki/Brogård,http://brohofslottsrestaurang.com/,,https://maps.app.goo.gl/pxt8aLzoULPxpwAe6,59.495965215308956,17.626694337633953,
Brunnbäcks herrgård,brunnbacks-herrgard,Brunnbäck Manor,Dalarna,Manor,Accommodation,,,,,19th Century,1827,,,,https://www.brunnbacksherrgard.se/,,https://maps.app.goo.gl/DN5aLsk3DEiDSsNF8,60.13302141759097,16.255751799769566,
Bäckaskogs slott,backaskogs-slott,Bäckaskog Manor,Skåne,Manor,Food & Drink|Weddings|Accommodation,,,,,17th Century,1241,1584,,https://sv.wikipedia.org/wiki/Bäckaskogs_slott,http://backaskogslott.se/,,https://maps.app.goo.gl/8dayF5y8abx1wvBS9,56.08525969832517,14.349063811270113,
Carlshälls gård,carlshalls-gard,Carlshäll Manor,Södermanland,Manor,Weddings,,,,Carl Modeer,19th Century,1837,1877,,https://sv.wikipedia.org/wiki/Karlshälls_gård,https://www.carlshallsgard.se/,,https://maps.app.goo.gl/uYSLJ4v8cPakq6oM9,59.32208708432906,18.018234067205217,
Carlstens fästning,carlstens-fastning,Carlsten Fortress,Bohuslän,Fortress,Weddings,,,Erik Dahlberg (expansion),,17th Century,1660,1682,,https://sv.wikipedia.org/wiki/Karlstens_fästning,https://carlsten.se/,,https://maps.app.goo.gl/N7N9RTHn2NVhJoGt9,57.88661572864102,11.577895382539618,
Cedergrenska tornet,cedergrenska-tornet,The Cedergren Tower,Uppland,Other,Weddings,,,Ferdinand Boberg & Lars Israel Wahlman (original design); Sven-Olof Larsson (completion/restoration),,19th Century,1896,1996,National Romantic,https://sv.wikipedia.org/wiki/Cedergrenska_tornet,https://cedergrenskatornet.se/,,https://maps.app.goo.gl/25XSs19t5fkrCkKaA,59.380526172291425,18.05598436720729,
Kina slott,kina-slott,The Chinese Pavilion,Uppland,Palace,History & Culture,,,"Carl Fredrik Adelcrantz (stone pavilion, replacing an earlier wooden pavilion); Jean Eric Rehn (interior)",,18th Century,1753,1769,Rococo,https://sv.wikipedia.org/wiki/Kina_slott,https://www.kungligaslotten.se/vara-besoksmal/kina-slott.html,,https://maps.app.goo.gl/8APPyWPDzF7h7x3P9,59.31716462143607,17.878809042150092,
Christinehofs slott,christinehofs-slott,Christinehof Manor,Skåne,Manor,History & Culture,,,Georg Mockelten,Christina Piper,18th Century,1737,,Baroque,https://sv.wikipedia.org/wiki/Christinehofs_slott,https://www.christinehofslott.se/,,https://maps.app.goo.gl/Hr7dTKskTcK7XnuT9,55.718031764212554,13.960634828446025,
Christineholms herrgård,christineholms-herrgard,Christineholm Manor,Södermanland,Manor,Sports & Recreation,,,,,18th Century,1728,,,"https://sv.wikipedia.org/wiki/Kristineholm,_Helgona",https://christineholm.se,,https://maps.app.goo.gl/E7VPBQ2tC8yvAVhc9,58.81135986644087,16.938990859243958,
Claestorps slott,claestorps-slott,Claestorp Manor,Södermanland,Manor,Sports & Recreation,,,Carl Johan Cronstedt,Count Klas Stromberg,18th Century,1754,,,https://sv.wikipedia.org/wiki/Claestorp,https://www.claestorp.se/,,https://maps.app.goo.gl/CLpnCgcQrpBRg3A49,58.96219780665516,16.120750397948232,
Djursholms slott,djursholms-slott,Djursholm Manor,Uppland,Castle,Weddings|Conferences & Events,,,"Erik Lundroth (Dutch Renaissance-revival remodel, later reversed); Klas Fåhraeus (restoration to earlier appearance)",Svante Gustafsson Banér,17th Century,1500,1650,,https://sv.wikipedia.org/wiki/Djursholms_slott,,,https://maps.app.goo.gl/7QgiVngQFRRYftLZ7,59.40132169900048,18.08917404215514,
Drottningholms slott,drottningholms-slott,Drottningholm Palace,Uppland,Palace,Food & Drink|History & Culture,,,Willem Boy; Jean de la Vallée; Nicodemus Tessin d.ä.; Nicodemus Tessin d.y.; Jean Eric Rehn (library); Carl Fredrik Adelcrantz (theatre),,17th Century,1580,1662,Baroque,https://sv.wikipedia.org/wiki/Drottningholms_slott,https://www.kungligaslotten.se/vara-besoksmal/drottningholms-slott/,,https://maps.app.goo.gl/K5eJidVLr8GY9t6G8,59.32175170079197,17.887296022953176,
Dufweholms herrgård,dufweholms-herrgard,Dufweholm Manor,Södermanland,Manor,Food & Drink|Weddings|Spa & Wellness,,,,,18th Century,1721,,,https://sv.wikipedia.org/wiki/Duveholms_herrgård,https://www.dufweholm.se/,,https://maps.app.goo.gl/t7GRsrHA8HPAmBo67,58.9712109900282,16.19208074651583,
Dömle herrgård,domle-herrgard,Dömle Manor,Värmland,Manor,Food & Drink|Weddings|Accommodation|Spa & Wellness,,,,,19th Century,1864,,,https://sv.wikipedia.org/wiki/Dömle_herrgård,https://domle.se/,,https://maps.app.goo.gl/dzMFPoctPG14YwTF6,59.59812567562413,13.423535678858034,
Ekebyhovs slott,ekebyhovs-slott,Ekebyhov Manor,Södermanland,Manor,Food & Drink,,,,,18th Century,1673,,,https://sv.wikipedia.org/wiki/Ekebyhovs_slott,https://www.ekero.se/uppleva-gora/ekebyhovs-slott/,,https://maps.app.goo.gl/7J4i7v1i7TwzL4gDA,59.282791918588586,17.815237257410747,
Ekenäs slott,ekenas-slott,Ekenäs Castle,Östergötland,Castle,Weddings|History & Culture,,,Hans Flemming,"Peder Banér, completed by son Claes Banér",17th Century,1630,,Renaissance,https://sv.wikipedia.org/wiki/Ekenäs_slott,http://ekenasslott.se/,,https://maps.app.goo.gl/ffP5DAxR7B1zfS2x7,58.382108563656494,15.945582511405199,
Eketorps borg,eketorps-borg,Eketorp Fortress,Öland,Fortress,History & Culture,,,Mårten Stenberger and Nils Arne Rosén (reconstruction),Riksantikvarieämbetet (commissioned the reconstruction),3rd Century,300,1984,,https://sv.wikipedia.org/wiki/Eketorps_borg,https://www.eketorpsborg.se,,https://maps.app.goo.gl/p5MdGUjau9AREbjU7,56.29527626262316,16.485854055462813,
